"","Year","teamID","num_players","mean_salary","median_salary","sport","Annual_Avg","Inflation_Rate","win_loss"
"286",1995,"SD",31,851043.032258064,2e+05,"MLB",152.383333333333,2.80541968853657,0.482758620689655
"287",1995,"SEA",35,1042323.17142857,250000,"MLB",152.383333333333,2.80541968853657,0.544827586206897
"288",1995,"SF",39,934943,170000,"MLB",152.383333333333,2.80541968853657,0.462068965517241
"289",1995,"STL",38,976342.105263158,299500,"MLB",152.383333333333,2.80541968853657,0.427586206896552
"290",1995,"TEX",34,1017101.5,212500,"MLB",152.383333333333,2.80541968853657,0.510344827586207
"291",1995,"TOR",33,1533030.3030303,290000,"MLB",152.383333333333,2.80541968853657,0.386206896551724
"292",1995,"WSH",33,374666.666666667,165000,"MLB",152.383333333333,2.80541968853657,0.455172413793103
"293",1996,"ATL",30,1656616.66666667,385000,"MLB",156.85,2.93120419993438,0.592592592592593
"294",1996,"BAL",32,1702822.34375,675000,"MLB",156.85,2.93120419993438,0.54320987654321
"295",1996,"BOS",36,1177597.22222222,4e+05,"MLB",156.85,2.93120419993438,0.524691358024691
"296",1996,"CHC",33,1002454.54545455,275000,"MLB",156.85,2.93120419993438,0.469135802469136
"297",1996,"CIN",35,1215038.11428571,550000,"MLB",156.85,2.93120419993438,0.5
"298",1996,"CLE",31,1551850.32258065,750000,"MLB",156.85,2.93120419993438,0.611111111111111
"299",1996,"COL",31,1296123.32258065,450000,"MLB",156.85,2.93120419993438,0.512345679012346
"300",1996,"CWS",28,1612125,575000,"MLB",156.85,2.93120419993438,0.524691358024691
"301",1996,"DET",32,732437.5,174500,"MLB",156.85,2.93120419993438,0.327160493827161
"302",1996,"FLA",32,969453.125,316250,"MLB",156.85,2.93120419993438,NA
"303",1996,"HOU",31,918935.483870968,275000,"MLB",156.85,2.93120419993438,0.506172839506173
"304",1996,"KC",33,614583.333333333,180000,"MLB",156.85,2.93120419993438,0.462962962962963
"305",1996,"LAA",37,776702.702702703,3e+05,"MLB",156.85,2.93120419993438,0.432098765432099
"306",1996,"LAD",32,1104843.75,387500,"MLB",156.85,2.93120419993438,0.555555555555556
"307",1996,"MIL",34,639117.647058823,188750,"MLB",156.85,2.93120419993438,0.493827160493827
"308",1996,"MIN",33,700515.151515151,155000,"MLB",156.85,2.93120419993438,0.481481481481481
"309",1996,"NYM",33,741803.03030303,198000,"MLB",156.85,2.93120419993438,0.438271604938272
